doc_id,name,album,album_base,era,mood_tags,profile_text
song::THE TORTURED POETS DEPARTMENT::21::How Did It End?,How Did It End?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,Pop Rock (2022-),"acoustic, low-energy, melancholic, slow-tempo","Song: How Did It End?
Album: THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Base album: THE TORTURED POETS DEPARTMENT
Release year: 2024
Era: Pop Rock (2022-)
Popularity: 80
Audio profile: acousticness=0.785, danceability=0.492, energy=0.379, valence=0.273, tempo=84.0, loudness=-8.86.
Mood tags: acoustic, low-energy, melancholic, slow-tempo
Cluster: Cluster 1: 原声 · 忧郁
Taylor's Version: False
"
song::THE TORTURED POETS DEPARTMENT::22::So High School,So High School,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,Pop Rock (2022-),"electronic/produced, high-energy, melancholic, fast-tempo","Song: So High School
Album: THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Base album: THE TORTURED POETS DEPARTMENT
Release year: 2024
Era: Pop Rock (2022-)
Popularity: 82
Audio profile: acousticness=0.027, danceability=0.366, energy=0.866, valence=0.293, tempo=176.1, loudness=-4.51.
Mood tags: electronic/produced, high-energy, melancholic, fast-tempo
Cluster: Cluster 0: 电子 · 高能量 · 忧郁
Taylor's Version: False
"
song::THE TORTURED POETS DEPARTMENT::23::I Hate It Here,I Hate It Here,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,Pop Rock (2022-),"acoustic, melancholic","Song: I Hate It Here
Album: THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Base album: THE TORTURED POETS DEPARTMENT
Release year: 2024
Era: Pop Rock (2022-)
Popularity: 78
Audio profile: acousticness=0.717, danceability=0.485, energy=0.562, valence=0.297, tempo=106.0, loudness=-7.20.
Mood tags: acoustic, melancholic
Cluster: Cluster 0: 电子 · 高能量 · 忧郁
Taylor's Version: False
"
song::THE TORTURED POETS DEPARTMENT::24::thanK you aIMee,thanK you aIMee,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,Pop Rock (2022-),"acoustic, melancholic","Song: thanK you aIMee
Album: THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Base album: THE TORTURED POETS DEPARTMENT
Release year: 2024
Era: Pop Rock (2022-)
Popularity: 76
Audio profile: acousticness=0.609, danceability=0.609, energy=0.541, valence=0.252, tempo=96.0, loudness=-8.01.
Mood tags: acoustic, melancholic
Cluster: Cluster 1: 原声 · 忧郁
Taylor's Version: False
"
song::THE TORTURED POETS DEPARTMENT::25::I Look in People's Windows,I Look in People's Windows,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,Pop Rock (2022-),"acoustic, low-energy, danceable","Song: I Look in People's Windows
Album: THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Base album: THE TORTURED POETS DEPARTMENT
Release year: 2024
Era: Pop Rock (2022-)
Popularity: 76
Audio profile: acousticness=0.690, danceability=0.763, energy=0.274, valence=0.385, tempo=90.8, loudness=-11.43.
Mood tags: acoustic, low-energy, danceable
Cluster: Cluster 1: 原声 · 忧郁
Taylor's Version: False
"
song::THE TORTURED POETS DEPARTMENT::26::The Prophecy,The Prophecy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,Pop Rock (2022-),"acoustic, fast-tempo","Song: The Prophecy
Album: THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Base album: THE TORTURED POETS DEPARTMENT
Release year: 2024
Era: Pop Rock (2022-)
Popularity: 81
Audio profile: acousticness=0.825, danceability=0.421, energy=0.525, valence=0.535, tempo=167.9, loudness=-10.36.
Mood tags: acoustic, fast-tempo
Cluster: Cluster 1: 原声 · 忧郁
Taylor's Version: False
"
song::THE TORTURED POETS DEPARTMENT::27::Cassandra,Cassandra,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,Pop Rock (2022-),"acoustic, fast-tempo","Song: Cassandra
Album: THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Base album: THE TORTURED POETS DEPARTMENT
Release year: 2024
Era: Pop Rock (2022-)
Popularity: 76
Audio profile: acousticness=0.806, danceability=0.587, energy=0.587, valence=0.514, tempo=140.0, loudness=-9.88.
Mood tags: acoustic, fast-tempo
Cluster: Cluster 1: 原声 · 忧郁
Taylor's Version: False
"
song::THE TORTURED POETS DEPARTMENT::28::Peter,Peter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,Pop Rock (2022-),"acoustic, low-energy, melancholic, fast-tempo","Song: Peter
Album: THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Base album: THE TORTURED POETS DEPARTMENT
Release year: 2024
Era: Pop Rock (2022-)
Popularity: 77
Audio profile: acousticness=0.805, danceability=0.342, energy=0.376, valence=0.290, tempo=176.9, loudness=-8.21.
Mood tags: acoustic, low-energy, melancholic, fast-tempo
Cluster: Cluster 1: 原声 · 忧郁
Taylor's Version: False
"
song::THE TORTURED POETS DEPARTMENT::29::The Bolter,The Bolter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,Pop Rock (2022-),"acoustic, fast-tempo","Song: The Bolter
Album: THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Base album: THE TORTURED POETS DEPARTMENT
Release year: 2024
Era: Pop Rock (2022-)
Popularity: 77
Audio profile: acousticness=0.638, danceability=0.455, energy=0.586, valence=0.481, tempo=183.7, loudness=-7.98.
Mood tags: acoustic, fast-tempo
Cluster: Cluster 1: 原声 · 忧郁
Taylor's Version: False
"
song::THE TORTURED POETS DEPARTMENT::30::Robin,Robin,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,Pop Rock (2022-),"acoustic, low-energy, melancholic, fast-tempo","Song: Robin
Album: THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Base album: THE TORTURED POETS DEPARTMENT
Release year: 2024
Era: Pop Rock (2022-)
Popularity: 73
Audio profile: acousticness=0.791, danceability=0.476, energy=0.386, valence=0.158, tempo=138.3, loudness=-10.60.
Mood tags: acoustic, low-energy, melancholic, fast-tempo
Cluster: Cluster 1: 原声 · 忧郁
Taylor's Version: False
"
