name,album,album_base,release_date,release_year,era,track_number,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_min,is_taylor_version,is_live,mood_tags,cluster,cluster_name
You Are In Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],1989 TV,2023-10-27,2023,Pop Rock (2022-),15,0.572,0.554,0.509,2.08e-06,0.113,-9.403,0.0455,85.079,0.401,62,4.456483333333333,True,False,"acoustic, slow-tempo",1.0,Cluster 1: 原声 · 忧郁
New Romantics (Taylor's Version),1989 (Taylor's Version) [Deluxe],1989 TV,2023-10-27,2023,Pop Rock (2022-),16,0.00516,0.653,0.848,4.24e-06,0.0798,-5.936,0.0583,122.017,0.724,63,3.8362833333333333,True,False,"electronic/produced, high-energy, danceable, bright",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version) [Deluxe],1989 TV,2023-10-27,2023,Pop Rock (2022-),17,0.33,0.621,0.415,0.000112,0.0634,-13.187,0.0543,77.978,0.313,64,3.00635,True,False,slow-tempo,1.0,Cluster 1: 原声 · 忧郁
Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],1989 TV,2023-10-27,2023,Pop Rock (2022-),18,0.0684,0.632,0.539,5.82e-06,0.132,-8.375,0.0342,109.962,0.186,63,4.663883333333334,True,False,"electronic/produced, melancholic",0.0,Cluster 0: 电子 · 高能量 · 忧郁
Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],1989 TV,2023-10-27,2023,Pop Rock (2022-),19,0.16,0.8,0.509,3.05e-05,0.0834,-9.386,0.034,109.994,0.0768,65,2.4406,True,False,"electronic/produced, danceable, melancholic",1.0,Cluster 1: 原声 · 忧郁
Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],1989 TV,2023-10-27,2023,Pop Rock (2022-),20,0.212,0.695,0.607,0.0,0.102,-8.84,0.0357,118.043,0.394,61,2.8636333333333335,True,False,danceable,4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],1989 TV,2023-10-27,2023,Pop Rock (2022-),21,0.0486,0.599,0.651,0.0,0.126,-7.343,0.035,100.001,0.153,66,3.8246166666666666,True,False,"electronic/produced, high-energy, melancholic",0.0,Cluster 0: 电子 · 高能量 · 忧郁
Bad Blood (feat. Kendrick Lamar) (Taylor's Version),1989 (Taylor's Version) [Deluxe],1989 TV,2023-10-27,2023,Pop Rock (2022-),22,0.0143,0.604,0.644,0.0,0.237,-6.931,0.0889,170.088,0.197,74,3.32955,True,False,"electronic/produced, melancholic, fast-tempo",0.0,Cluster 0: 电子 · 高能量 · 忧郁
Welcome To New York (Taylor's Version),1989 (Taylor's Version),1989 TV,2023-10-26,2023,Pop Rock (2022-),1,0.00661,0.76,0.602,0.000133,0.325,-4.871,0.0316,116.989,0.685,71,3.5433333333333334,True,False,"electronic/produced, danceable, bright",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Blank Space (Taylor's Version),1989 (Taylor's Version),1989 TV,2023-10-26,2023,Pop Rock (2022-),2,0.0901,0.732,0.719,0.0,0.331,-5.469,0.0645,96.035,0.71,80,3.8638833333333333,True,False,"electronic/produced, high-energy, danceable, bright",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Style (Taylor's Version),1989 (Taylor's Version),1989 TV,2023-10-26,2023,Pop Rock (2022-),3,0.000456,0.514,0.821,0.0232,0.0946,-4.803,0.0444,94.884,0.298,79,3.85,True,False,"electronic/produced, high-energy, melancholic",0.0,Cluster 0: 电子 · 高能量 · 忧郁
Out Of The Woods (Taylor's Version),1989 (Taylor's Version),1989 TV,2023-10-26,2023,Pop Rock (2022-),4,0.000466,0.544,0.884,0.000134,0.381,-5.973,0.0383,91.981,0.184,73,3.93,True,False,"electronic/produced, high-energy, melancholic",0.0,Cluster 0: 电子 · 高能量 · 忧郁
All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version),1989 TV,2023-10-26,2023,Pop Rock (2022-),5,0.000778,0.589,0.713,0.0,0.188,-5.614,0.0308,97.069,0.54,69,3.2214833333333335,True,False,"electronic/produced, high-energy",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Shake It Off (Taylor's Version),1989 (Taylor's Version),1989 TV,2023-10-26,2023,Pop Rock (2022-),6,0.0112,0.632,0.805,2.51e-05,0.156,-5.707,0.069,160.052,0.903,75,3.6534833333333334,True,False,"electronic/produced, high-energy, bright, fast-tempo",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
I Wish You Would (Taylor's Version),1989 (Taylor's Version),1989 TV,2023-10-26,2023,Pop Rock (2022-),7,0.00388,0.671,0.853,9.48e-06,0.0812,-6.568,0.0417,118.032,0.523,68,3.4608333333333334,True,False,"electronic/produced, high-energy, danceable",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Bad Blood (Taylor's Version),1989 (Taylor's Version),1989 TV,2023-10-26,2023,Pop Rock (2022-),8,0.0369,0.624,0.711,3.13e-06,0.19,-6.347,0.159,169.999,0.347,71,3.5183833333333334,True,False,"electronic/produced, high-energy, fast-tempo",0.0,Cluster 0: 电子 · 高能量 · 忧郁
Wildest Dreams (Taylor's Version),1989 (Taylor's Version),1989 TV,2023-10-26,2023,Pop Rock (2022-),9,0.0348,0.587,0.663,9.95e-05,0.0971,-7.439,0.0598,139.993,0.539,77,3.6738833333333334,True,False,"electronic/produced, high-energy, fast-tempo",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
How You Get The Girl (Taylor's Version),1989 (Taylor's Version),1989 TV,2023-10-26,2023,Pop Rock (2022-),10,0.00198,0.761,0.67,1.08e-05,0.0873,-5.956,0.0537,120.014,0.519,67,4.12555,True,False,"electronic/produced, high-energy, danceable",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
This Love (Taylor’s Version),1989 (Taylor's Version),1989 TV,2023-10-26,2023,Pop Rock (2022-),11,0.302,0.47,0.494,0.0,0.0672,-8.672,0.0349,144.039,0.0524,67,4.168333333333333,True,False,"melancholic, fast-tempo",1.0,Cluster 1: 原声 · 忧郁
I Know Places (Taylor's Version),1989 (Taylor's Version),1989 TV,2023-10-26,2023,Pop Rock (2022-),12,0.0846,0.572,0.807,0.0,0.071,-5.348,0.0574,160.015,0.626,66,3.2616666666666667,True,False,"electronic/produced, high-energy, bright, fast-tempo",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
